Specimen name:	AWA_1_12_Rz
Specimen ID:	46NT93
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	4.998	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.61924926326091	mm²
Cross-section after fracture:	8.70658651456339	mm²
Yield stress at 0.2% plastic strain:	1131.9962024948527	MPa
Yield stress at 1% plastic strain:	1148.4492823862206	MPa
Ultimate tensile strength:	1201.7738132392292	MPa
Uniform elongation:	5.252826048735211	%
Elongation after fracture:	14.154201887064243	%
Reduction of area:	55.622223879547825	%
Slope of linear-elastic region:	196476.55676196955	MPa
Crosshead seperation speed:	0.029978850960202617	mm/s
Strain rate:	0.0009992950320067539	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-08-18 00:00:00
Heat treatment batch:	Batch 1
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.00041960551739923915	0.0691517	0	1.6784220695969567e-05	3.5246863461536093	1.6784079842497313e-05	3.524745505267127
0.24	0.0005053808173992392	0.0684851	-0.000320434	2.0215232695969568e-05	3.490709510900882	2.0215028370956384e-05	3.490780076405919
0.450001	0.00046743871739923917	0.0720306	0.00031662	1.8697548695969568e-05	3.67142488652126	1.8697373899004725e-05	3.6714935331668594
0.670001	0.0005299295173992392	0.073577	0.000431061	2.1197180695969567e-05	3.7502454356283956	2.1196956038982035e-05	3.7503249302585493
0.870001	0.00042738857739923916	0.0720318	0.000148774	1.7095543095969565e-05	3.671486050941157	1.7095396968903653e-05	3.671548816989167
1.08	0.00043831721739923915	0.0683288	-0.000427246	1.7532688695969567e-05	3.482742845209312	1.7532535000185915e-05	3.482803907055425
1.29	0.00047064921739923914	0.0857954	0.00213623	1.8825968695969566e-05	4.373021559018612	1.8825791489632254e-05	4.373103885385589
1.49	0.0006384055173992392	0.13081	0.00792313	2.5536220695969567e-05	6.667431472261039	2.553589465227658e-05	6.66760173326259
1.69	0.0005917725173992392	0.18851	0.0144272	2.367090069596957e-05	9.608420662303558	2.3670620544644494e-05	9.608648102274902
1.9	0.0008497135173992391	0.262517	0.0210495	3.3988540695969565e-05	13.380583348395009	3.398796309855572e-05	13.38103813489668
2.11	0.0009433045173992392	0.33169	0.0270653	3.7732180695969564e-05	16.90635536300179	3.773146885509133e-05	16.906993276657257
2.31	0.0012179465173992393	0.414888	0.032795	4.871786069596957e-05	21.146986535153562	4.871667401961189e-05	21.148016771097723
2.52	0.001533065517399239	0.500931	0.0394096	6.132262069596956e-05	25.532628352810907	6.132074054098402e-05	25.534194080494757
2.73	0.001812535517399239	0.59801	0.0450478	7.250142069596956e-05	30.48077895212005	7.249879259495027e-05	30.482988851898
2.94	0.002267675517399239	0.708311	0.0524635	9.070702069596957e-05	36.10285951799319	9.070290706286593e-05	36.10613430081867
3.14	0.0026820555173992394	0.81102	0.0579567	0.00010728222069596958	41.33797318731861	0.00010727646637011884	41.342408016881215
3.34	0.0030934855173992393	0.916381	0.063549	0.00012373942069596959	46.70826022461618	0.00012373176560524603	46.71403987767809
3.55	0.003503035517399239	1.01424	0.0692825	0.00014012142069596957	51.69616769685831	0.0001401116046066544	51.70341143732053
3.75001	0.0038583655173992392	1.13033	0.0754089	0.00015433462069596956	57.61331561838408	0.00015432271233368827	57.62220734759708
3.95001	0.004630955517399239	1.26055	0.0820961	0.00018523822069596956	64.25067458419579	0.00018522106621514565	64.26257626483428
4.15001	0.005180855517399239	1.39762	0.0881615	0.00020723422069596954	71.237180446919	0.00020721275065107133	71.2519432284935
4.35001	0.0058506855173992385	1.51917	0.0943794	0.00023402742069596953	77.43262647897562	0.00023400004055090462	77.45074783682821
4.56001	0.006739725517399239	1.6616	0.100403	0.00026958902069596955	84.69233341723829	0.0002695526881057955	84.71516554046471
4.76001	0.007497725517399239	1.80861	0.106499	0.0002999090206959696	92.18548455810748	0.00029986405697532143	92.21313181650368
4.97001	0.00836731551739924	1.94739	0.112869	0.0003346926206959696	99.25914971918372	0.0003346366236149817	99.29237102413128
