Specimen name:	AWA_1_05_Rz
Specimen ID:	46NT79
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.015	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.752940524032585	mm²
Cross-section after fracture:	8.719666339227071	mm²
Yield stress at 0.2% plastic strain:	1131.103874548778	MPa
Yield stress at 1% plastic strain:	1143.104213932002	MPa
Ultimate tensile strength:	1197.1837798645006	MPa
Uniform elongation:	5.565130184472215	%
Elongation after fracture:	14.534422157542112	%
Reduction of area:	55.85636311404768	%
Slope of linear-elastic region:	199824.73421938933	MPa
Crosshead seperation speed:	0.029905242191204235	mm/s
Strain rate:	0.0009968414063734744	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-08-18 00:00:00
Heat treatment batch:	Batch 1
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0005322329935573761	0.0883106	0	2.1289319742295045e-05	4.470757145881959	2.1289093127861358e-05	4.470852325260327
0.23	0.0005333355635573761	0.0872861	-0.000263214	2.1333422542295045e-05	4.418891450303443	2.1333194988068854e-05	4.4189857203819205
0.440001	0.0005543496935573761	0.0870675	-0.000457764	2.2173987742295046e-05	4.40782474356507	2.2173741903170042e-05	4.407922482616904
0.640001	0.0005889515935573761	0.0872294	-0.000694275	2.3558063742295043e-05	4.416020991602319	2.3557786255387195e-05	4.416125024506326
0.850001	0.00048459449355737615	0.0869783	-0.000751495	1.9383779742295045e-05	4.403308960211625	1.9383591879168294e-05	4.4033943129826465
1.05	0.0005773419935573761	0.0871126	-0.000808716	2.3093679742295045e-05	4.410107947928751	2.3093413087375372e-05	4.410209793549329
1.25	0.0005793848935573762	0.0924673	0.000991821	2.3175395742295048e-05	4.681191637644981	2.317512719692387e-05	4.6813001261137295
1.45	0.0005299628935573761	0.130838	0.0126266	2.1198515742295045e-05	6.623722672622582	2.1198291056978262e-05	6.623863085711931
1.66	0.0005188072935573761	0.141721	0.015358	2.0752291742295046e-05	7.174678616967126	2.0752076416537978e-05	7.174827507990943
1.86	0.0005095649935573761	0.166378	0.0209198	2.0382599742295044e-05	8.422948461651812	2.0382392019877808e-05	8.423120143238956
2.06	0.0004912748935573761	0.203314	0.0283661	1.9650995742295045e-05	10.292847272669922	1.965080266390571e-05	10.293049537367853
2.26	0.0003931439935573761	0.240634	0.0345078	1.5725759742295045e-05	12.182186227272368	1.572563609393866e-05	12.182377801406115
2.47	0.0005384593535573761	0.278067	0.0402527	2.1538374142295046e-05	14.077245849127495	2.1538142194754994e-05	14.077549050115485
2.67	0.0007714949935573761	0.317106	0.0453453	3.085979974229504e-05	16.053609821494184	3.085932358844252e-05	16.054105232678417
2.88	0.0007233379935573761	0.361306	0.0520363	2.8933519742295045e-05	18.29125134864928	2.8933101176104877e-05	18.291780578931288
3.08	0.000867550993557376	0.413317	0.0578957	3.470203974229504e-05	20.924327671474245	3.470143764035536e-05	20.92505378832468
3.28	0.0009291979935573761	0.470027	0.0640869	3.7167919742295045e-05	23.795292626337712	3.716722903238376e-05	23.796177047864294
3.48	0.001035533993557376	0.523991	0.0700607	4.1421359742295044e-05	26.52724030442363	4.142050190155556e-05	26.52833909878725
3.68001	0.0013350819935573762	0.575806	0.0758324	5.3403279742295047e-05	29.150394053960763	5.340185383796929e-05	29.151950780609027
3.89001	0.0013287909935573762	0.620238	0.0819054	5.315163974229505e-05	31.399780667864718	5.315022724404642e-05	31.401449617694766
4.09001	0.0013078089935573763	0.675379	0.0888138	5.231235974229505e-05	34.19131441105157	5.231099149846107e-05	34.193103039391104
4.30001	0.0011977439935573762	0.733087	0.0972061	4.790975974229505e-05	37.11280348908475	4.790861210645312e-05	37.114581554583275
4.51001	0.0010036879935573762	0.780396	0.102814	4.0147519742295047e-05	39.507839303749456	4.0146713852138484e-05	39.50942544550788
4.71001	0.0010867069935573761	0.824484	0.108261	4.346827974229505e-05	41.73981078902579	4.346733502403624e-05	41.74162514679756
4.92001	0.0010155249935573762	0.873287	0.113361	4.062099974229505e-05	44.2104809123233	4.062017473186741e-05	44.21227678625704
5.13001	0.0008440069935573761	0.918601	0.118443	3.3760279742295045e-05	46.50451910602253	3.375970987680488e-05	46.50608911159682
5.33001	0.0008525359935573761	0.984935	0.125031	3.4101439742295045e-05	49.86270265946837	3.410085830137358e-05	49.8644030494185
5.54001	0.0008575949935573761	1.07533	0.13438	3.4303799742295046e-05	54.43898333474403	3.430321138045816e-05	54.44085079872652
5.74001	0.0007252189935573762	1.14573	0.140751	2.9008759742295047e-05	58.00300965853857	2.900833899638761e-05	58.004692253910086
5.95001	0.0008094369935573761	1.21114	0.146301	3.237747974229504e-05	61.31441536648461	3.237695560310108e-05	61.31640057272605
6.15001	0.0009913649935573761	1.27232	0.151127	3.965459974229505e-05	64.41167574275946	3.9653813519455916e-05	64.41422996197977
