Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0007600134259370098,0.126105,0,3.040053703748039e-05,6.384112777870882,3.0400074950550574e-05,6.384306858327838
0.23,0.0006449144259370097,0.123531,0.00049591,2.5796577037480388e-05,6.253803065407145,2.5796244311413387e-05,6.253964392119698
0.440001,0.0006448484259370098,0.123468,-3.8147e-05,2.5793937037480393e-05,6.25061366685034,2.579360437951472e-05,6.250774894785708
0.650001,0.0006315604259370098,0.125722,2.2888e-05,2.5262417037480392e-05,6.364723259660466,2.526209794789166e-05,6.36488404795378
0.860001,0.0006454994259370097,0.125665,-3.8147e-05,2.581997703748039e-05,6.361837613347166,2.5819643707675052e-05,6.36200187584826
1.06,0.0006180774259370097,0.122229,-0.000183106,2.4723097037480387e-05,6.187888828566513,2.472279142665593e-05,6.188041812342479
1.27,0.0006272614259370098,0.122903,0.000205993,2.509045703748039e-05,6.222010330586932,2.5090142277327637e-05,6.222166443669819
1.47,0.0009166054259370098,0.140723,0.00208282,3.666421703748039e-05,7.124154493797424,3.666354492154152e-05,7.124415695343994
1.67,0.0017629434259370097,0.214412,0.00735474,7.05177370374804e-05,10.854687672406737,7.05152507787432e-05,10.855453120417643
1.89,0.00240996342593701,0.295479,0.0144119,9.63985370374804e-05,14.958734859779632,9.639389099707471e-05,14.960176859936047
2.1,0.0032069934259370096,0.393639,0.0210419,0.0001282797370374804,19.92812156352497,0.00012827150989554902,19.93067793771879
2.31,0.00401757342593701,0.48074,0.0270691,0.00016070293703748039,24.33764225711628,0.00016069002570365942,24.341553387707563
2.52,0.0048316634259370096,0.576175,0.0335159,0.0001932665370374804,29.169074816936327,0.0001932478634662161,29.174712223014783
2.72,0.00551177342593701,0.673507,0.0388107,0.00022047093703748039,34.09654371107795,0.00022044663689202163,34.10406100801967
2.93,0.00671924342593701,0.786229,0.0454864,0.0002687697370374804,39.80313710981044,0.00026873362492202163,39.81383498850471
3.12,0.00726334342593701,0.891882,0.0512924,0.0002905337370374804,45.15185974031988,0.0002904915402842566,45.16497787886443
3.33,0.00789772342593701,1.00292,0.0568237,0.00031590893703748043,50.77320000937525,0.0003158590483158144,50.7892397170202
3.53,0.00863456342593701,1.12221,0.0633926,0.0003453825370374804,56.812300863998125,0.000345322906218875,56.831922840605465
3.74001,0.00950357342593701,1.25498,0.0700607,0.00038014293703748036,63.53383175902939,0.00038007070101739207,63.55798369643552
3.94001,0.01036079342593701,1.38393,0.0762634,0.0004144317370374804,70.06197372569567,0.00041434588392460933,70.09100963116708
4.14001,0.01109571342593701,1.51029,0.0817184,0.0004438285370374804,76.4589959739155,0.00044373007428489197,76.49293065824196
4.34001,0.01193221342593701,1.66028,0.0879364,0.00047728853703748043,84.05229580780674,0.0004771746710934735,84.09241300510749
4.54001,0.01269071342593701,1.80036,0.0936737,0.0005076285370374804,91.14389818617519,0.0005074997372582082,91.19016542987134
4.75001,0.01355201342593701,1.94062,0.0992203,0.0005420805370374804,98.24461313184881,0.0005419336644586557,98.29786962449637
4.95001,0.01436491342593701,2.08302,0.105225,0.0005745965370374804,105.45366637770593,0.0005744315196564609,105.51425968922446
5.15001,0.01526571342593701,2.23458,0.111656,0.0006106285370374803,113.12644804864769,0.0006104421792921177,113.19552628611989
5.35001,0.01615941342593701,2.38251,0.117271,0.0006463765370374804,120.6154596122688,0.0006461677256993125,120.69342261536616
5.57001,0.01694791342593701,2.56359,0.123878,0.0006779165370374804,129.78270232125624,0.0006776868554192702,129.87068416138123
5.76001,0.017984013425937008,2.72603,0.129738,0.0007193605370374803,138.0062880604208,0.0007191019212642378,138.10556433791447
5.98001,0.018845913425937007,2.88744,0.136086,0.0007538365370374803,146.17772966445025,0.0007535525449885622,146.2879237779725
6.18001,0.01986601342593701,3.07023,0.142723,0.0007946405370374803,155.4315417628367,0.0007943249774057387,155.55505396665566
6.39001,0.02084631342593701,3.24854,0.147911,0.0008338525370374804,164.45855218607255,0.0008335050751519658,164.59568636705043
6.59001,0.021942613425937008,3.42601,0.154022,0.0008777045370374803,173.44303729521766,0.0008773195796463238,173.5952690359692
6.80001,0.02296821342593701,3.61081,0.160667,0.0009187285370374804,182.79860639517833,0.0009183067642851849,182.96654869140428
6.99001,0.023951713425937007,3.77239,0.166039,0.0009580685370374803,190.9786543127738,0.0009576098823016337,191.16162495271664
7.21001,0.025103113425937008,3.97749,0.173096,0.0010041245370374804,201.36191850326043,0.0010036207412155952,201.56411094645452
7.42001,0.026428613425937008,4.17638,0.179794,0.0010571445370374803,211.4307991217192,0.0010565861532450434,211.6543120359722
7.62001,0.02733581342593701,4.36411,0.185829,0.0010934325370374803,220.93470056725826,0.0010928351750913421,221.17627775741914
7.82001,0.028392813425937007,4.53632,0.191658,0.0011357125370374803,229.6528962095971,0.0011350681034354856,229.9137158829893
8.03001,0.02963111342593701,4.71798,0.197411,0.0011852445370374803,238.84950163545668,0.0011845426892506403,239.13259670244423
8.24001,0.030756413425937008,4.93111,0.20459,0.0012302565370374803,249.63928757850118,0.0012295003915690583,249.946407943946
8.45001,0.03192981342593701,5.12171,0.210381,0.0012771925370374804,259.28848384718356,0.0012763776204455246,259.6196451636929
8.65001,0.03313951342593701,5.3092,0.215866,0.0013255805370374805,268.78023520298234,0.0013247027308070927,269.1365250515078
8.86001,0.03443261342593701,5.52175,0.222916,0.0013773045370374804,279.54065842915463,0.0013763569231458256,279.9256710462956
9.07001,0.03552611342593701,5.7219,0.229027,0.0014210445370374805,289.6733270187495,0.0014200358087681697,290.084965717635
9.28001,0.03677121342593701,5.92885,0.235413,0.0014708485370374805,300.15024815098354,0.0014697678988348985,300.59172370436784
9.48001,0.037887813425937014,6.11165,0.24102,0.0015155125370374806,309.40456650310915,0.0015143653068606625,309.8734730026612
9.68001,0.039090713425937014,6.3119,0.247253,0.0015636285370374805,319.54229763009573,0.0015624073427669943,320.0419430854607
9.88001,0.04035161342593701,6.5138,0.253731,0.0016140645370374804,329.7635606240463,0.0016127633348340241,330.2958202928568
10.08,0.04162451342593701,6.72228,0.259987,0.0016649805370374804,340.3179385783742,0.0016635959935553534,340.8845613225119
10.28,0.04288471342593701,6.93412,0.266365,0.0017153885370374804,351.04241778906504,0.0017139189385026957,351.64459192855435
10.49,0.04387831342593701,7.12458,0.27179,0.0017551325370374804,360.68452650539894,0.0017535940917800786,361.31757565347453
10.7,0.04532681342593701,7.33452,0.278244,0.0018130725370374802,371.3128175056465,0.00181143090499108,371.986034577716
10.9,0.04663641342593701,7.53904,0.284256,0.0018654565370374804,381.66671897926096,0.0018637187338536303,382.3787016551505
11.11,0.04779731342593701,7.73482,0.290291,0.0019118925370374803,391.57815468483614,0.001910067196700206,392.32681003644495
11.31,0.04936341342593701,7.9785,0.297813,0.0019745365370374803,403.9145458010613,0.0019725897020792687,404.7120898295864
11.52,0.05030291342593701,8.16141,0.303856,0.0020121165370374804,413.17443294431786,0.0020100949418939656,414.0057880535262
11.74,0.05171901342593701,8.38692,0.310112,0.0020687605370374802,424.5909610164614,0.002066623598659388,425.46933804099507
11.93,0.05273841342593701,8.55331,0.315651,0.0021095365370374804,433.0145169826002,0.0021073145891416316,433.9279769272426
12.15,0.05404771342593701,8.76684,0.321526,0.0021619085370374806,443.8245530752117,0.002159574975468756,444.7840611654519
12.35,0.05534131342593701,8.98007,0.328064,0.0022136525370374804,454.61940155564787,0.002211206018090173,455.625770947288
12.56,0.05681881342593701,9.19945,0.334709,0.0022727525370374803,465.725596085677,0.002270173741560274,466.784075115744
12.76,0.058016513425937014,9.38202,0.340652,0.0023206605370374805,474.9682706018015,0.002317971963081554,476.070510723732
12.96,0.05916621342593701,9.59777,0.34697,0.0023666485370374803,485.89069502450997,0.0023638524351132905,487.0406275270499
13.16,0.060256313425937014,9.78079,0.352272,0.0024102525370374803,495.15615095889734,0.0024073525372778205,496.3496023279758
13.38,0.06170141342593701,9.99688,0.359024,0.0024680565370374806,506.09578800873777,0.0024650158874714753,507.34486102669985
13.6,0.06316161342593701,10.239,0.36618,0.0025264645370374804,518.3532035416515,0.002523278390837673,519.6628045280593
13.81,0.06440231342593701,10.4294,0.372032,0.0025760925370374803,527.9922747355504,0.0025727800982042245,529.3524316941101
14.01,0.06551671342593701,10.6316,0.378166,0.0026206685370374805,538.2287253416762,0.002617240572979318,539.6392444279089
14.21,0.066668013425937,10.8223,0.384033,0.00266672053703748,547.8829841477503,0.002663171146580753,549.3440349534704
14.41,0.06800711342593702,11.0143,0.390068,0.002720284537037481,557.6030559399173,0.0027165912593842432,559.1198949107956
14.63,0.06925711342593702,11.2381,0.396133,0.0027702845370374805,568.9330146226617,0.0027664543709652943,570.5091209556809
14.84,0.07058421342593701,11.4562,0.402817,0.0028233685370374806,579.9744086740765,0.0028193903183155256,581.6118901718138
15.04,0.07183441342593701,11.6536,0.409126,0.0028733765370374804,589.9678574853981,0.0028692562814857402,591.6630572847029
15.24,0.07303551342593702,11.8422,0.415573,0.0029214205370374806,599.5158030062454,0.0029171614810399593,601.2672407854265
15.44,0.07422371342593702,12.0373,0.421379,0.002968948537037481,609.3928134575566,0.0029645499133705714,611.2020693595525
15.66,0.07544701342593702,12.2517,0.427879,0.0030178805370374806,620.2468936254763,0.003013335876768351,622.1187246539066
15.86,0.07671171342593701,12.4677,0.434525,0.0030684685370374804,631.1819743916642,0.0030637703957350736,633.1187364212302
16.08,0.07820761342593702,12.6956,0.441383,0.0031283045370374806,642.7194971074706,0.0031234215733471093,644.7301194263143
16.28,0.07940871342593701,12.8882,0.446793,0.0031763485370374807,652.469944123988,0.0031713145989010357,654.5424160764671
16.5,0.08063631342593701,13.0909,0.453285,0.00322545253703748,662.7317074170726,0.003220261923393496,664.8693170841361
16.71,0.08182761342593702,13.293,0.459198,0.0032731045370374807,672.9630954858067,0.003267759590253089,675.1657740469001
16.91,0.083014013425937,13.4697,0.464806,0.00332056053703748,681.9085990570352,0.0033150596498862242,684.1729178409305
17.11,0.08427341342593701,13.6802,0.471153,0.0033709365370374806,692.5652402666766,0.0033652676664988074,694.8998337393738
17.31,0.08547191342593702,13.8823,0.477234,0.003418876537037481,702.7966283354107,0.003413045465346263,705.1994032383357
17.53,0.08671631342593701,14.093,0.483612,0.0034686525370374805,713.4633946198355,0.0034626506368260752,715.938151233667
